2026-09-18 15:25:11 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 400.93}
2026-09-18 15:25:33 - INFO - {'url': '/users/me/', 'request': {'detail_request_body': ''}, 'status': 401, 'response': {'detail': 'Could not validate credentials'}, 'duration': 1.99}
2026-09-18 15:25:45 - INFO - {'url': '/api/protected-data', 'request': {'detail_request_body': ''}, 'status': 200, 'response': {'message': '这是受保护的数据', 'user': {'username': 'system', 'role': 'user', 'expire_datetime': '2026-09-18T07:30:11+00:00'}, 'data': ['敏感数据1', '敏感数据2', '敏感数据3']}, 'duration': 2.0}
2026-09-18 15:25:53 - INFO - {'url': '/users/me/', 'request': {'detail_request_body': ''}, 'status': 401, 'response': {'detail': 'Not authenticated'}, 'duration': 1.99}
2026-09-18 15:25:59 - INFO - {'url': '/api/protected-data', 'request': {'detail_request_body': ''}, 'status': 200, 'response': {'message': '这是受保护的数据', 'user': {'username': 'system', 'role': 'user', 'expire_datetime': '2026-09-18T07:30:11+00:00'}, 'data': ['敏感数据1', '敏感数据2', '敏感数据3']}, 'duration': 1.99}
2026-09-18 15:26:02 - INFO - {'url': '/api/protected-data', 'request': {'detail_request_body': ''}, 'status': 200, 'response': {'message': '这是受保护的数据', 'user': {'username': 'system', 'role': 'user', 'expire_datetime': '2026-09-18T07:30:11+00:00'}, 'data': ['敏感数据1', '敏感数据2', '敏感数据3']}, 'duration': 2.99}
2026-09-18 15:26:06 - INFO - {'url': '/users/me/', 'request': {'detail_request_body': ''}, 'status': 401, 'response': {'detail': 'Not authenticated'}, 'duration': 2.0}
2026-09-18 15:26:20 - INFO - {'url': '/users/me/', 'request': {'detail_request_body': ''}, 'status': 200, 'response': {'username': 'system', 'role': 'admin', 'email': 'dennischen@example.com', 'full_name': 'DENNIS CHEN', 'disabled': False}, 'duration': 2.99}
2026-09-18 15:30:48 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 204.45}
2026-09-18 15:49:36 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 428.85}
2026-09-18 15:57:08 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 477.72}
